zagat original string|fodors original string
LuLu Restaurant-Bis-Cafe 816 Folsom St. San Francisco|LuLu 816 Folsom St. San Francisco
Marnee Thai 2225 Irving St. San Francisco|March 405 E. 58th St. New York
Masa's 648 Bush St. San Francisco|Masa's 648 Bush St. San Francisco
Mifune 1737 Post St. San Francisco|Mifune Japan Center  Kintetsu Building  1737 Post St. San Francisco
Postrio 545 Post St. San Francisco|Posto 14928 Ventura Blvd. Sherman Oaks
Postrio 545 Post St. San Francisco|Post House 28 E. 63rd St. New York
Postrio 545 Post St. San Francisco|Postrio 545 Post St. San Francisco
Ritz-Carlton Dining Room (San Francisco) 600 Stockton St. San Francisco|Ritz-Carlton Restaurant and Dining Room 600 Stockton St. San Francisco
Rose Pistola 532 Columbus Ave. San Francisco|Rose Pistola 532 Columbus Ave. San Francisco
Thep Phanom 400 Waller St. San Francisco|The Palm 9001 Santa Monica Blvd. Los Angeles
Brighton Coffee Shop 9600 Brighton Way Beverly Hills|Binion's Coffee Shop 128 Fremont St. Las Vegas
Chez Melange 1716 PCH Redondo Beach|Chez Jacqueline 72 MacDougal St.  between W. Houston and Bleecker Sts. New York
Chez Melange 1716 PCH Redondo Beach|Chez Michel 804 Northpoint San Francisco
Carmine's 2450 Broadway New York City|Canter's 419 N. Fairfax Ave. Los Angeles
Carmine's 2450 Broadway New York City|Carmine's 2450 Broadway  between 90th and 91st Sts. New York
Carmine's 2450 Broadway New York City|Camille's 1186 N. Highland Ave. Atlanta
Carmine's 2450 Broadway New York City|Chin's 3200 Las Vegas Blvd. S Las Vegas
Rainbow Room 30 Rockefeller Plaza New York City|Rainbow Room 30 Rockefeller Plaza New York
